row ID,UPLC m/z,HPLC m/z,UPLC RT,HPLC RT
104,329.1021,329.1,4.81,7.13
105,322.1076,322.1,5.33,8.12
106,334.1076,334.1,6.75,10.86
107,334.1076,334.1,13.07,21.45
