UPLC m/z,HPLC m/z,UPLC RT,HPLC RT
329.1021,329.102,4.81,7.1
322.1076,322.1075,5.33,8.1
334.1076,334.1074,6.75,10.8
334.1076,334.1073,13.07,21.4
